"","date","nox","no","no2","h2s","pm10","co","so2","o3","hcnm","hct","wd","ws"
"56",2009-07-14 00:00:00,NA,2,33,1.1,NA,0.5,1,30,NA,NA,148.250164349737,2.73125
"57",2009-07-15 00:00:00,NA,12,56,1.4,NA,3.8,1,2,NA,NA,172.43958300656,2.46666666666667
"58",2009-07-16 00:00:00,NA,1,10,1.4,NA,0.2,1,51,NA,NA,172.417307980127,2.8125
"59",2009-07-17 00:00:00,NA,1,8,1,NA,0.3,1,58,NA,NA,223.993993830627,3.30208333333333
"60",2009-07-18 00:00:00,NA,3,44,1.1,NA,0.9,1,26,NA,NA,227.250681953202,3.13333333333333
"61",2009-07-19 00:00:00,NA,4,41,1.3,NA,0.4,1,23,NA,NA,186.915371778313,2.10625
"62",2009-07-20 00:00:00,NA,1,26,2,NA,NA,1,25,NA,NA,248.735614958619,2.43333333333333
"63",2009-07-21 00:00:00,NA,5,62,3.8,NA,NA,2,9,NA,NA,159.513928174506,2.89791666666667
"64",2009-07-22 00:00:00,NA,6,56,2.9,NA,NA,1,7,NA,NA,165.370066191795,2.97083333333333
"65",2009-07-23 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,318.106164236011,3.30833333333333
"66",2009-07-25 00:00:00,NA,1,14,4.2,NA,NA,1,59,NA,NA,212.057479239305,2.59791666666667
"67",2009-07-26 00:00:00,NA,7,74,4,NA,0.2,2,11,NA,NA,218.763337569228,2.26458333333333
"68",2009-07-27 00:00:00,NA,1,27,3.7,NA,0.2,1,63,NA,NA,156.572062459212,2.48125
"69",2009-07-28 00:00:00,NA,1,43,4.7,NA,0.2,2,35,NA,NA,184.999294910589,2.91666666666667
"70",2009-07-29 00:00:00,NA,3,49,2.9,NA,0.2,1,15,NA,NA,172.868998829893,2.20833333333333
"71",2009-07-30 00:00:00,NA,5,63,2.8,NA,0.2,1,11,NA,NA,215.788120608659,2.725
"72",2009-07-31 00:00:00,NA,8,69,3.5,NA,0.2,1,13,NA,NA,238.976472516852,2.13958333333333
"73",2009-08-01 00:00:00,NA,1,8,2.9,NA,0.2,1,54,NA,NA,218.427415046969,1.98958333333333
"74",2009-08-02 00:00:00,NA,1,13,2.4,NA,0.2,1,49,NA,NA,182.884057248386,3.17291666666667
"75",2009-08-03 00:00:00,NA,2,28,2.3,NA,0.2,1,39,NA,NA,170.460142090667,2.36458333333333
"76",2009-08-04 00:00:00,NA,1,9,2.6,NA,0.2,1,47,NA,NA,204.047645701788,1.8375
"77",2009-08-05 00:00:00,NA,14,60,2.4,NA,0.2,1,2,NA,NA,207.471875726486,2.49375
"78",2009-08-06 00:00:00,NA,27,68,2.7,NA,0.2,1,4,NA,NA,196.801509279289,2.39166666666667
"79",2009-08-07 00:00:00,NA,1,21,2.5,NA,0.2,1,63,NA,NA,174.905487937359,2.73958333333333
"80",2009-08-08 00:00:00,NA,1,13,2.3,NA,0.2,1,61,NA,NA,264.115034026981,2.05625
"81",2009-08-09 00:00:00,NA,17,35,2.5,NA,0.2,1,2,NA,NA,341.563484388778,2.2375
"82",2009-08-10 00:00:00,NA,10,57,1.3,NA,0.2,1,6,NA,NA,185.205164456457,2.325
