data,setmana_epidemiologica,any,codi_regio,nom_regio,codi_ambit,nom_ambit,codi_abs,nom_abs,diagnostic,sexe,grup_edat,index_socioeconomic,casos,poblacio
2022-06-13,24,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,COVID-19,Dona,30 a 34,2,1,178
2022-06-09,23,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,Altres IRA,Dona,50 a 54,2,1,330
2022-01-31,5,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,COVID-19,Dona,70 a 74,2,1,148
2022-04-28,17,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,Altres IRA,Dona,35 a 39,2,1,217
2022-01-09,1,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,COVID-19,Dona,70 a 74,2,1,148
2022-04-04,14,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,Faringoamigdalitis,Dona,30 a 34,2,1,178
2022-01-10,2,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,COVID-19,Dona,30 a 34,2,1,178
2022-09-19,38,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,Altres IRA,Home,1 i 2,2,2,55
2022-12-03,48,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,Faringoamigdalitis,Home,35 a 39,2,1,182
2022-05-23,21,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,COVID-19,Home,35 a 39,2,1,182
2022-05-03,18,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,Altres IRA,Dona,50 a 54,2,1,330
2022-01-08,1,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,Altres IRA,Dona,50 a 54,2,1,330
2022-02-02,5,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,COVID-19,Home,15 a 19,2,1,260
2022-01-13,2,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,COVID-19,Dona,50 a 54,2,4,330
2022-01-16,2,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,COVID-19,Home,3 i 4,2,1,73
2022-05-16,20,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,Altres IRA,Dona,65 a 69,2,1,178
2022-01-31,5,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,COVID-19,Home,35 a 39,2,1,182
2022-01-06,1,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,COVID-19,Home,20 a 24,2,1,221
2022-07-12,28,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,Altres IRA,Home,1 i 2,2,1,55
2022-10-13,41,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,Altres IRA,Dona,35 a 39,2,1,217
2022-02-03,5,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,COVID-19,Home,30 a 34,2,2,169
2022-06-23,25,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,COVID-19,Dona,35 a 39,2,1,217
2022-02-22,8,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,COVID-19,Home,30 a 34,2,1,169
2022-01-19,3,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,COVID-19,Home,10 a 14,2,2,279
2022-09-06,36,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,Altres IRA,Home,10 a 14,2,1,279
2022-01-14,2,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,COVID-19,Dona,50 a 54,2,1,330
2022-01-19,3,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,COVID-19,Home,3 i 4,2,1,73
2022-03-25,12,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,Altres IRA,Home,20 a 24,2,1,221
2022-09-27,39,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,Altres IRA,Dona,50 a 54,2,1,330
2022-10-25,43,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,Pneumònia,Home,20 a 24,2,1,221
2022-11-12,45,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,Altres IRA,Dona,70 a 74,2,1,148
2022-03-22,12,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,COVID-19,Home,25 a 29,2,1,191
2022-03-02,9,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,COVID-19,Dona,30 a 34,2,2,178
2022-03-08,10,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,COVID-19,Home,25 a 29,2,1,191
2022-06-07,23,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,Faringoamigdalitis,Dona,35 a 39,2,1,217
2022-01-17,3,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,COVID-19,Home,80 o més,2,1,108
2022-02-17,7,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,Faringoamigdalitis,Dona,75 a 79,2,1,88
2022-10-26,43,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,Altres IRA,Home,3 i 4,2,1,73
2022-01-22,3,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,COVID-19,Dona,30 a 34,2,1,178
2022-12-19,51,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,COVID-19,Dona,65 a 69,2,1,178
2022-03-15,11,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,Altres IRA,Home,20 a 24,2,1,221
2022-10-04,40,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,Faringoamigdalitis estreptocòccica,Dona,35 a 39,2,1,217
2022-05-10,19,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,COVID-19,Dona,50 a 54,2,1,330
2022-01-03,1,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,COVID-19,Home,10 a 14,2,2,279
2022-04-05,14,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,Altres IRA,Home,80 o més,2,1,108
2022-05-06,18,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,Pneumònia,Home,10 a 14,2,1,279
2022-04-26,17,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,COVID-19,Dona,75 a 79,2,1,88
2022-12-25,51,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,Grip,Home,15 a 19,2,1,260
2022-11-16,46,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,COVID-19,Home,65 a 69,2,1,180
2022-02-28,9,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,COVID-19,Dona,35 a 39,2,1,217
2022-08-30,35,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,Faringoamigdalitis,Dona,50 a 54,2,1,330
2022-04-13,15,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,Altres IRA,Dona,30 a 34,2,1,178
2022-01-26,4,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,COVID-19,Dona,70 a 74,2,2,148
2022-09-30,39,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,Altres IRA,Dona,70 a 74,2,1,148
2022-05-04,18,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,Faringoamigdalitis,Home,15 a 19,2,1,260
2022-07-30,30,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,Faringoamigdalitis,Dona,50 a 54,2,1,330
2022-11-05,44,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,Altres IRA,Home,80 o més,2,1,108
2022-01-13,2,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,COVID-19,Home,10 a 14,2,3,279
2022-02-07,6,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,COVID-19,Home,30 a 34,2,1,169
2022-07-13,28,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,Altres IRA,Dona,65 a 69,2,1,178
2022-09-14,37,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,Altres IRA,Home,10 a 14,2,1,279
2022-04-12,15,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,Altres IRA,Home,10 a 14,2,1,279
2022-01-04,1,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,COVID-19,Home,30 a 34,2,3,169
2022-12-15,50,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,Altres IRA,Dona,65 a 69,2,1,178
2022-01-04,1,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,COVID-19,Dona,50 a 54,2,1,330
2022-11-25,47,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,Altres IRA,Dona,75 a 79,2,1,88
2022-02-02,5,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,COVID-19,Home,35 a 39,2,1,182
2022-01-14,2,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,COVID-19,Dona,30 a 34,2,3,178
2022-09-15,37,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,Altres IRA,Dona,70 a 74,2,1,148
2022-04-20,16,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,COVID-19,Dona,70 a 74,2,1,148
2022-01-25,4,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,COVID-19,Dona,30 a 34,2,2,178
2022-05-30,22,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,Altres IRA,Dona,50 a 54,2,1,330
2022-06-13,24,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,Faringoamigdalitis,Home,30 a 34,2,1,169
2022-12-24,51,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,Faringoamigdalitis estreptocòccica,Home,10 a 14,2,1,279
2022-04-09,14,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,COVID-19,Dona,50 a 54,2,1,330
2022-12-05,49,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,Altres IRA,Home,15 a 19,2,1,260
2022-10-31,44,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,Altres IRA,Home,1 i 2,2,1,55
2022-05-16,20,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,COVID-19,Home,35 a 39,2,1,182
2022-06-22,25,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,COVID-19,Home,25 a 29,2,1,191
2022-06-28,26,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,Altres IRA,Dona,35 a 39,2,1,217
2022-10-20,42,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,Altres IRA,Dona,30 a 34,2,1,178
2022-10-10,41,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,Altres IRA,Home,10 a 14,2,1,279
2022-02-02,5,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,COVID-19,Dona,70 a 74,2,1,148
2022-04-06,14,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,COVID-19,Dona,70 a 74,2,1,148
2022-11-24,47,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,Altres IRA,Home,15 a 19,2,1,260
2022-11-20,46,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,Altres IRA,Dona,65 a 69,2,1,178
2022-10-05,40,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,COVID-19,Home,80 o més,2,1,108
2022-03-14,11,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,Altres IRA,Home,30 a 34,2,1,169
2022-04-16,15,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,Altres IRA,Dona,75 a 79,2,1,88
2022-01-14,2,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,COVID-19,Home,25 a 29,2,1,191
2022-06-29,26,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,COVID-19,Dona,75 a 79,2,1,88
2022-02-16,7,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,COVID-19,Dona,35 a 39,2,1,217
2022-08-22,34,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,Altres IRA,Home,25 a 29,2,1,191
2022-02-16,7,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,COVID-19,Home,80 o més,2,1,108
2022-10-04,40,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,COVID-19,Home,80 o més,2,1,108
2022-02-23,8,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,COVID-19,Home,1 i 2,2,1,55
2022-02-03,5,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,COVID-19,Dona,35 a 39,2,2,217
2022-11-03,44,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,COVID-19,Dona,50 a 54,2,1,330
2022-11-14,46,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,Faringoamigdalitis,Home,30 a 34,2,1,169
2022-04-02,13,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,Faringoamigdalitis,Dona,35 a 39,2,1,217
2022-02-18,7,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,COVID-19,Home,15 a 19,2,1,260
2022-11-02,44,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,COVID-19,Dona,70 a 74,2,1,148
2022-06-09,23,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,COVID-19,Dona,65 a 69,2,1,178
2022-03-31,13,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,Altres IRA,Home,20 a 24,2,2,221
2022-06-23,25,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,COVID-19,Dona,35 a 39,2,1,217
2022-02-22,8,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,COVID-19,Home,30 a 34,2,1,169
2022-01-19,3,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,COVID-19,Home,10 a 14,2,2,279
2022-09-06,36,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,Altres IRA,Home,10 a 14,2,1,279
2022-01-14,2,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,COVID-19,Dona,50 a 54,2,1,330
2022-01-19,3,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,COVID-19,Home,3 i 4,2,1,73
2022-03-25,12,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,Altres IRA,Home,20 a 24,2,1,221
2022-09-27,39,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,Altres IRA,Dona,50 a 54,2,1,330
2022-10-25,43,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,Pneumònia,Home,20 a 24,2,1,221
2022-11-12,45,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,Altres IRA,Dona,70 a 74,2,1,148
2022-03-22,12,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,COVID-19,Home,25 a 29,2,1,191
2022-03-02,9,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,COVID-19,Dona,30 a 34,2,2,178
2022-03-08,10,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,COVID-19,Home,25 a 29,2,1,191
2022-06-07,23,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,Faringoamigdalitis,Dona,35 a 39,2,1,217
2022-01-17,3,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,COVID-19,Home,80 o més,2,1,108
2022-02-17,7,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,Faringoamigdalitis,Dona,75 a 79,2,1,88
2022-10-26,43,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,Altres IRA,Home,3 i 4,2,1,73
2022-01-22,3,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,COVID-19,Dona,30 a 34,2,1,178
2022-12-19,51,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,COVID-19,Dona,65 a 69,2,1,178
2022-03-15,11,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,Altres IRA,Home,20 a 24,2,1,221
2022-10-04,40,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,Faringoamigdalitis estreptocòccica,Dona,35 a 39,2,1,217
2022-05-10,19,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,COVID-19,Dona,50 a 54,2,1,330
2022-01-03,1,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,COVID-19,Home,10 a 14,2,2,279
2022-04-05,14,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,Altres IRA,Home,80 o més,2,1,108
2022-05-06,18,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,Pneumònia,Home,10 a 14,2,1,279
2022-04-26,17,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,COVID-19,Dona,75 a 79,2,1,88
2022-12-25,51,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,Grip,Home,15 a 19,2,1,260
2022-11-16,46,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,COVID-19,Home,65 a 69,2,1,180
2022-02-28,9,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,COVID-19,Dona,35 a 39,2,1,217
2022-08-30,35,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,Faringoamigdalitis,Dona,50 a 54,2,1,330
2022-04-13,15,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,Altres IRA,Dona,30 a 34,2,1,178
2022-01-26,4,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,COVID-19,Dona,70 a 74,2,2,148
2022-09-30,39,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,Altres IRA,Dona,70 a 74,2,1,148
2022-05-04,18,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,Faringoamigdalitis,Home,15 a 19,2,1,260
2022-07-30,30,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,Faringoamigdalitis,Dona,50 a 54,2,1,330
2022-11-05,44,2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,Altres IRA,Home,80 o més,2,1,108
