date;c6h6;co;no;no2;nox;o3;so2
2012-04-19;;0,4;3,46;23,79;;68,71;1,08
2012-04-20;;0,43;6,5;32,0;;57,13;1,08
2012-04-21;;0,47;6,96;31,54;;54,17;2,29
2012-04-22;;0,41;2,58;15,38;;75,04;1,0
2012-04-23;;0,45;9,88;26,04;;65,92;1,04
2012-04-24;;0,34;26,67;27,63;;68,08;1,46
2012-04-25;;0,35;36,33;49,17;;37,25;2,96
2012-04-26;;0,32;33,0;38,38;;62,38;2,29
2012-04-27;;0,37;36,79;58,33;;32,63;2,42
2012-04-28;;0,31;21,63;38,21;;59,42;1,63
2012-04-29;;0,29;1,75;15,96;;81,21;1,13
2012-04-30;;0,31;3,29;25,54;;74,71;1,0
2012-05-01;;0,36;2,75;23,38;;60,46;1,0
2012-05-02;;0,42;9,29;33,58;;51,79;1,0
2012-05-03;;0,41;9,79;33,92;;54,08;1,13
2012-05-04;;0,45;10,73;37,41;;52,26;1,0
2012-05-05;;0,41;8,71;27,79;;47,08;1,21
2012-05-06;;0,41;3,54;26,75;;48,25;1,08
2012-05-07;;0,43;11,0;33,13;;42,38;1,46
2012-05-08;;0,45;14,5;34,54;;52,88;1,83
2012-05-09;;0,47;48,29;47,79;;46,58;2,96
2012-05-10;;0,41;22,79;50,83;;38,08;4,04
2012-05-11;;0,34;18,48;47,9;;38,83;2,71
2012-05-12;;0,4;10,79;30,83;;55,79;3,58
2012-05-13;;0,42;3,13;27,25;;48,21;1,71
2012-05-14;;0,4;17,29;32,5;;52,58;1,42
2012-05-15;;0,4;29,88;36,08;;62,25;1,67
2012-05-16;;0,4;13,96;30,42;;60,5;1,04
2012-05-17;;0,46;17,46;34,54;;49,0;1,08
2012-05-18;;0,39;58,57;45,38;;47,82;1,41
2012-05-19;;0,3;19,08;23,5;;82,04;1,04
2012-05-20;;0,39;6,43;23,29;;49,29;1,0
2012-05-21;;0,2;3,43;13,0;;70,93;1,0
2012-05-22;;0,21;26,87;29,83;;45,38;1,75
2012-05-23;;0,21;18,25;38,04;;35,79;2,0
2012-05-24;;0,23;22,52;41,65;;40,38;2,42
2012-05-25;;0,21;11,13;41,21;;46,17;1,83
2012-05-26;;0,21;4,38;21,25;;64,58;1,04
2012-05-27;;0,2;3,92;23,88;;53,13;1,08
2012-05-28;;0,2;8,17;29,58;;45,38;1,0
2012-05-29;;0,21;14,42;35,33;;41,92;1,08
2012-05-30;;0,24;9,17;30,0;;43,55;1,23
2012-05-31;;0,21;7,32;33,64;;45,38;1,63
2012-06-01;;0,23;10,08;40,04;;47,08;1,13
2012-06-02;;0,21;2,5;29,79;;63,46;1,21
2012-06-03;;0,2;1,5;24,63;;57,08;1,08
2012-06-04;;0,27;11,67;21,58;;36,54;1,0
2012-06-05;;0,32;9,71;20,88;;48,63;1,0
2012-06-06;;0,32;13,18;16,27;;54,13;1,13
2012-06-07;;0,38;14,96;21,75;;55,08;1,25
2012-06-08;;0,32;8,32;23,77;;45,91;1,25
2012-06-09;;0,3;2,83;13,63;;55,96;1,42
2012-06-10;;0,32;2,58;13,54;;58,08;1,0
2012-06-11;;0,29;3,35;9,15;;49,68;1,0
2012-06-12;;0,31;19,74;19,09;;57,04;2,17
2012-06-13;;0,32;12,14;19,67;;46,65;2,71
2012-06-14;;0,32;13,54;27,63;;48,33;1,83
2012-06-15;;0,33;19,14;36,23;;42,92;2,38
2012-06-16;;0,31;3,63;25,79;;52,83;3,0
2012-06-17;;0,36;4,46;26,04;;52,42;3,63
2012-06-18;;0,37;15,08;31,21;;53,67;3,33
2012-06-19;;0,4;30,25;55,9;;48,83;5,71
2012-06-20;;0,4;30,0;61,38;;53,88;3,83
2012-06-21;;0,4;16,38;38,46;;62,46;1,92
2012-06-22;;0,35;6,92;27,33;;65,21;3,25
2012-06-23;;0,41;4,88;31,96;;60,79;5,13
2012-06-24;;0,44;2,08;23,17;;73,5;4,13
2012-06-25;;0,44;6,67;32,42;;57,14;2,95
2012-06-26;;0,43;21,17;43,75;;47,88;3,46
2012-06-27;;0,43;15,5;44,17;;49,67;3,58
2012-06-28;;0,42;11,5;28,71;;61,46;1,04
2012-06-29;;0,55;15,04;28,88;;37,79;1,29
2012-06-30;;0,51;7,75;21,96;;74,5;1,0
2012-07-01;;0,43;1,92;22,17;;52,71;1,0
2012-07-02;;0,48;19,73;42,64;;38,63;2,04
2012-07-03;;0,5;23,63;44,79;;34,79;1,58
2012-07-04;;0,47;25,58;37,21;;46,96;1,13
2012-07-05;;0,49;12,0;26,67;;58,92;1,08
2012-07-06;;0,43;9,79;27,29;;56,0;2,17
2012-07-07;;0,49;5,04;22,5;;49,71;1,5
2012-07-08;;0,45;3,04;18,0;;55,33;1,21
2012-07-09;;0,54;21,04;42,88;;37,63;1,92
2012-07-10;;0,52;25,21;41,0;;34,21;1,23
2012-07-11;;0,48;9,17;23,08;;64,54;1,08
2012-07-12;;0,5;19,39;46,09;;47,63;1,67
2012-07-13;;0,5;14,88;26,04;;57,91;1,0
2012-07-14;;0,57;2,08;21,31;;56,0;1,0
2012-07-15;;0,54;1,25;17,21;;58,38;1,0
2012-07-16;;0,56;7,96;20,92;;57,29;1,04
2012-07-17;;0,5;19,33;41,75;;39,08;1,42
2012-07-18;;0,3;21,83;50,08;;41,83;3,88
2012-07-19;;0,32;13,64;43,64;;49,67;3,25
2012-07-20;;0,33;18,25;30,54;;62,46;1,38
2012-07-21;;0,25;3,42;20,83;;63,29;1,0
2012-07-22;;0,24;1,58;15,79;;73,42;1,46
2012-07-23;;0,37;9,83;32,13;;65,0;1,92
2012-07-24;;0,41;19,29;53,19;;47,67;2,71
2012-07-25;;0,37;20,08;53,5;;49,96;2,41
2012-07-26;;0,36;4,79;28,29;;68,63;1,83
2012-07-27;;0,38;8,38;38,17;;59,17;2,0
2012-07-28;;0,36;2,71;20,67;;76,83;1,29
2012-07-29;;0,35;1,17;16,13;;67,38;1,0
2012-07-30;;0,32;1,79;15,29;;63,42;1,0
2012-07-31;;0,36;18,21;32,88;;46,13;1,25
2012-08-01;;0,35;30,17;43,08;;40,92;1,21
2012-08-02;;0,34;5,33;26,04;;71,5;1,38
2012-08-03;;0,4;9,78;39,7;;54,46;2,83
2012-08-04;;0,39;4,17;31,67;;61,88;2,38
2012-08-05;;0,4;1,96;23,38;;64,83;1,29
2012-08-06;;0,32;2,92;19,29;;61,21;1,0
2012-08-07;;0,35;8,79;30,04;;46,21;1,83
2012-08-08;;0,38;6,0;31,5;;51,74;1,64
2012-08-09;;0,42;7,13;40,38;;57,63;2,0
2012-08-10;;0,41;8,92;38,42;;58,33;2,79
2012-08-11;;0,4;3,38;31,75;;69,67;2,04
2012-08-12;;0,42;1,96;20,08;;59,29;1,25
2012-08-13;;0,41;17,08;34,75;;44,08;1,54
2012-08-14;;0,41;23,33;42,13;;43,92;1,92
2012-08-15;;0,4;2,88;17,42;;55,75;1,13
2012-08-16;;0,39;4,86;25,14;;65,96;1,13
2012-08-17;;0,44;16,88;43,54;;37,38;1,46
2012-08-18;;0,43;6,63;38,33;;39,71;1,5
2012-08-19;;0,46;4,79;33,83;;46,75;1,42
2012-08-20;;0,49;38,63;64,17;;36,0;1,83
2012-08-21;;0,47;25,21;63,75;;36,52;1,68
2012-08-22;;0,51;22,58;57,33;;46,17;1,92
2012-08-23;;0,55;20,75;50,96;;50,0;3,04
2012-08-24;;0,55;21,0;46,09;;52,67;1,54
2012-08-25;;0,52;3,13;21,42;;65,38;1,0
2012-08-26;;0,44;1,38;10,33;;66,79;1,04
2012-08-27;;0,5;19,46;35,04;;48,58;1,13
2012-08-28;;0,5;9,54;24,96;;59,13;1,0
2012-08-29;;0,52;19,0;29,17;;46,08;1,17
2012-08-30;;0,4;4,83;30,75;;48,71;1,13
2012-08-31;;0,3;9,29;31,25;;50,67;1,83
2012-09-01;;0,31;1,71;21,08;;66,71;2,21
2012-09-02;;0,35;1,96;30,25;;64,17;2,83
2012-09-03;;0,39;8,71;45,83;;57,13;3,63
2012-09-04;;0,4;8,92;41,04;;66,04;3,17
2012-09-05;;0,39;16,54;54,29;;48,33;2,54
2012-09-06;;0,41;17,71;57,63;;51,08;2,0
2012-09-07;;0,43;9,84;46,37;;66,57;2,09
2012-09-08;;0,43;3,83;30,96;;59,58;1,38
2012-09-09;;0,4;1,54;21,5;;74,71;1,08
2012-09-10;;0,43;6,71;28,17;;52,5;1,42
2012-09-11;;0,41;2,54;18,33;;46,79;1,0
2012-09-12;;0,4;12,25;27,08;;42,29;1,38
2012-09-13;;0,38;8,38;24,0;;51,17;2,0
2012-09-14;;0,43;15,71;37,21;;34,54;2,67
2012-09-15;;0,46;4,88;27,21;;52,96;3,13
2012-09-16;;0,43;1,63;22,29;;51,75;1,25
2012-09-17;;0,5;16,38;26,25;;51,59;1,45
2012-09-18;;0,5;23,25;28,25;;36,54;1,42
2012-09-19;;0,42;12,5;32,68;;36,92;1,17
2012-09-20;;0,49;27,13;38,5;;31,75;1,29
2012-09-21;;0,5;34,75;33,5;;39,17;1,58
2012-09-22;;0,45;10,33;24,67;;45,96;1,04
2012-09-23;;0,44;2,79;26,83;;46,54;1,04
2012-09-24;;0,39;1,71;14,96;;70,75;1,08
2012-09-25;;0,46;20,75;54,17;;46,04;1,96
2012-09-26;;0,43;29,42;50,58;;36,46;1,96
2012-09-27;;0,31;19,75;41,63;;32,79;2,42
2012-09-28;;0,36;24,88;49,33;;34,29;3,21
2012-09-29;;0,32;3,13;31,5;;51,83;1,5
2012-09-30;;0,38;22,92;35,63;;38,13;1,92
2012-10-01;;0,34;32,67;53,67;;30,79;3,04
