date;no;no2;nox
2014-01-06;8,0;30,42;42,46
2014-01-07;61,63;65,29;159,17
2014-01-08;62,68;75,61;171,18
2014-01-09;49,54;60,25;135,96
2014-01-10;13,92;59,29;80,25
2014-01-11;5,71;47,79;56,17
2014-01-12;6,54;35,83;45,79
2014-01-13;13,42;36,13;56,58
2014-01-14;7,5;36,29;47,5
2014-01-15;14,72;52,11;74,39
2014-01-16;48,25;61,5;135,25
2014-01-17;13,21;41,83;61,71
2014-01-18;20,25;52,38;83,25
2014-01-19;4,5;34,71;41,04
2014-01-20;4,5;24,25;30,79
2014-01-21;14,13;43,38;64,67
2014-01-22;37,75;67,17;124,75
2014-01-23;12,59;42,43;62,0
2014-01-24;5,58;29,0;37,38
2014-01-25;11,13;43,42;60,21
2014-01-26;10,25;30,38;45,92
2014-01-27;3,5;15,96;20,96
2014-01-28;4,29;25,21;31,33
2014-01-29;9,75;45,71;60,25
2014-01-30;8,41;33,41;45,95
2014-01-31;9,46;35,58;49,71
2014-02-01;47,42;57,46;129,63
2014-02-02;2,21;15,21;18,54
2014-02-03;14,63;35,04;57,13
2014-02-04;6,25;30,29;39,71
2014-02-05;4,08;26,88;32,75
2014-02-06;7,92;35,08;47,17
2014-02-07;5,71;28,67;37,17
2014-02-08;2,46;19,83;23,42
2014-02-09;2,21;17,5;20,75
2014-02-10;6,13;27,13;36,21
2014-02-11;3,73;16,95;22,45
2014-02-12;4,35;32,89;38,76
2014-02-13;8,46;34,83;47,08
2014-02-14;9,54;39,21;53,46
2014-02-15;21,29;41,38;73,79
2014-02-16;2,38;21,88;24,88
2014-02-17;16,75;43,04;68,33
2014-02-18;6,92;43,17;53,08
2014-02-19;7,79;31,17;42,46
2014-02-20;9,17;40,42;54,25
2014-02-21;19,83;44,13;74,04
2014-02-22;7,25;37,67;48,29
2014-02-23;14,17;38,5;59,88
2014-02-24;23,17;54,75;89,96
2014-02-25;7,0;46,83;57,38
2014-02-26;3,67;27,13;32,17
2014-02-27;9,33;39,22;54,24
2014-02-28;5,33;28,88;36,29
2014-03-01;2,46;17,75;21,0
2014-03-02;2,25;19,96;22,88
2014-03-03;2,79;20,58;24,33
2014-03-04;2,5;13,67;16,83
2014-03-05;11,04;42,75;59,08
2014-03-06;12,0;49,08;67,17
2014-03-07;8,42;47,38;59,83
2014-03-08;31,0;65,29;112,75
2014-03-09;2,75;34,04;37,92
2014-03-10;17,1;63,67;89,57
2014-03-11;4,58;52,17;58,67
2014-03-12;4,42;39,29;45,75
2014-03-13;3,33;37,71;42,25
2014-03-14;35,79;74,88;129,13
2014-03-15;31,29;80,92;128,46
2014-03-16;3,71;26,21;31,5
2014-03-17;34,21;66,04;118,13
2014-03-18;20,46;58,13;89,08
2014-03-19;6,0;42,67;51,33
2014-03-20;6,33;48,71;58,25
2014-03-21;4,96;31,21;38,25
2014-03-22;2,5;20,88;23,92
2014-03-23;1,71;14,71;16,75
2014-03-24;3,75;20,58;25,71
2014-03-25;2,54;16,67;19,88
2014-03-26;5,5;31,39;39,14
2014-03-27;4,08;29,63;35,42
2014-03-28;12,29;40,04;58,29
2014-03-29;1,83;19,08;21,38
2014-03-30;1,45;20,26;21,95
2014-03-31;4,79;32,04;38,67
2014-04-01;7,04;41,75;52,17
2014-04-02;4,88;42,33;49,54
2014-04-03;3,46;37,88;42,79
2014-04-04;4,54;21,88;28,29
2014-04-05;4,83;37,71;44,67
2014-04-06;7,46;37,25;48,38
2014-04-07;14,25;33,75;55,21
2014-04-08;4,08;31,0;37,29
2014-04-09;11,36;38,78;58,23
2014-04-10;11,71;49,38;67,17
2014-04-11;10,63;49,21;65,17
2014-04-12;2,21;30,75;34,0
2014-04-13;4,13;30,92;37,08
2014-04-14;12,21;41,17;59,5
2014-04-15;8,5;51,58;64,21
2014-04-16;7,46;34,33;45,29
2014-04-17;2,13;20,5;23,33
2014-04-18;2,42;32,04;35,25
2014-04-19;1,21;18,63;20,21
2014-04-20;1,33;18,33;19,79
2014-04-21;1,46;19,33;21,13
2014-04-22;4,67;33,29;40,04
2014-04-23;5,29;32,54;40,17
2014-04-24;23,77;51,87;88,05
2014-04-25;3,38;23,17;27,83
2014-04-26;2,21;17,96;20,83
2014-04-27;1,63;13,83;15,58
2014-04-28;4,13;26,63;32,5
2014-04-29;4,71;27,79;34,71
2014-04-30;5,21;26,75;34,38
2014-05-01;2,08;23,38;26,29
2014-05-02;2,83;22,29;25,92
2014-05-03;2,5;21,13;24,25
2014-05-04;1,5;12,54;14,04
2014-05-05;6,67;30,96;40,58
2014-05-06;3,17;20,0;24,21
2014-05-07;5,17;32,21;39,38
2014-05-08;3,29;28,83;33,33
2014-05-09;16,32;46,55;71,23
2014-05-10;6,21;36,96;46,08
2014-05-11;2,71;22,21;25,92
2014-05-12;3,21;21,83;26,33
2014-05-13;2,38;20,58;23,88
2014-05-14;4,92;23,25;30,33
2014-05-15;4,54;26,0;32,54
2014-05-16;3,54;23,67;28,54
2014-05-17;1,5;16,79;18,54
2014-05-18;1,46;17,5;18,75
2014-05-19;2,46;20,88;23,83
2014-05-20;2,13;22,63;25,38
2014-05-21;2,88;23,83;28,29
2014-05-22;3,21;25,13;29,88
2014-05-23;3,68;23,23;28,27
2014-05-24;1,67;16,04;18,13
2014-05-25;4,83;27,92;34,92
2014-05-26;5,33;35,54;43,38
2014-05-27;4,21;26,83;32,79
2014-05-28;5,71;34,54;42,79
2014-05-29;5,33;28,29;35,88
2014-05-30;9,79;49,75;64,29
2014-05-31;3,79;28,13;33,58
2014-06-01;3,38;22,75;27,5
2014-06-02;3,67;27,96;33,0
2014-06-03;3,63;26,42;31,67
2014-06-04;3,5;30,29;35,21
2014-06-05;5,38;30,5;38,54
2014-06-06;3,43;38,35;43,04
2014-06-07;3,42;32,88;37,92
2014-06-08;2,79;33,79;38,04
2014-06-09;4,71;44,13;51,17
2014-06-10;12,79;59,83;79,33
2014-06-11;10,5;55,54;71,33
2014-06-12;18,88;71,83;100,46
2014-06-13;5,21;45,75;53,42
2014-06-14;2,67;29,17;32,96
2014-06-15;1,71;18,46;20,88
2014-06-16;3,58;23,46;28,75
2014-06-17;3,77;32,82;38,09
2014-06-18;5,04;30,33;37,67
2014-06-19;3,75;26,79;32,08
2014-06-20;5,04;32,42;39,79
2014-06-21;2,13;23,5;26,17
2014-06-22;2,25;22,13;25,04
2014-06-23;4,33;22,21;28,67
2014-06-24;2,71;15,79;19,75
2014-06-25;2,58;22,13;25,54
2014-06-26;4,21;31,17;37,17
2014-06-27;3,04;24,17;28,29
2014-06-28;2,42;23,75;27,17
2014-06-29;1,92;17,42;20,0
2014-06-30;2,75;15,67;19,13
2014-07-01;3,33;23,88;28,63
2014-07-02;2,83;14,75;18,38
2014-07-03;4,52;27,9;34,33
2014-07-04;4,17;24,0;29,83
2014-07-05;3,17;25,54;30,21
2014-07-06;1,42;13,79;15,71
2014-07-07;4,42;31,83;38,38
2014-07-08;4,75;26,83;34,0
2014-07-09;3,75;18,79;24,33
2014-07-10;3,79;19,67;25,08
2014-07-11;3,87;23,21;28,61
2014-07-12;1,92;17,79;20,33
2014-07-13;1,5;12,33;14,04
2014-07-14;3,13;20,63;25,04
2014-07-15;4,5;23,08;29,63
2014-07-16;8,13;28,96;40,88
2014-07-17;6,21;28,04;37,13
2014-07-18;5,92;36,29;45,08
2014-07-19;2,13;19,54;22,5
2014-07-20;1,33;12,67;14,08
2014-07-21;1,94;15,39;17,56
2014-07-22;3,82;26,23;31,59
2014-07-23;4,83;23,79;30,42
2014-07-24;5,13;28,96;36,25
2014-07-25;4,58;35,67;42,25
2014-07-26;1,75;18,75;20,88
2014-07-27;1,25;12,04;13,17
2014-07-28;1,92;18,63;20,96
2014-07-29;3,0;15,67;19,63
2014-07-30;2,77;21,14;24,95
2014-07-31;4,79;30,54;37,54
2014-08-01;6,13;34,83;44,08
2014-08-02;1,75;20,75;23,21
2014-08-03;1,54;19,38;21,79
2014-08-04;2,46;17,83;21,58
2014-08-05;2,33;20,0;23,21
2014-08-06;2,63;21,75;25,33
2014-08-07;2,67;15,17;19,0
2014-08-08;2,33;17,29;20,58
2014-08-09;1,5;15,96;17,88
2014-08-10;1,38;13,13;14,83
2014-08-11;2,25;13,92;16,88
2014-08-12;3,04;17,54;21,54
2014-08-13;1,71;11,79;13,83
2014-08-14;1,71;13,0;15,0
2014-08-15;1,38;13,75;15,08
2014-08-16;1,21;10,46;11,54
2014-08-17;1,13;9,83;10,71
2014-08-18;1,71;12,83;14,67
2014-08-19;1,81;19,19;21,1
2014-08-20;1,25;11,58;12,63
2014-08-21;1,42;14,21;15,88
2014-08-22;2,17;20,33;23,0
2014-08-23;1,63;12,96;15,08
2014-08-24;1,25;11,5;12,75
2014-08-25;1,91;12,27;14,55
2014-08-26;3,42;23,67;28,46
2014-08-27;2,75;25,75;29,5
2014-08-28;6,92;30,33;40,63
2014-08-29;7,0;29,29;39,79
2014-08-30;3,79;30,29;35,79
2014-08-31;3,04;27,13;31,42
2014-09-01;3,0;19,83;24,0
2014-09-02;5,92;32,21;40,92
2014-09-03;1,88;18,71;21,21
2014-09-04;2,04;24,54;27,0
2014-09-05;3,63;26,08;31,21
2014-09-06;4,5;26,25;32,79
2014-09-07;2,92;20,75;25,0
2014-09-08;7,0;27,38;37,5
2014-09-09;3,46;26,21;31,38
2014-09-10;14,04;37,04;58,04
2014-09-11;1,88;23,96;26,33
2014-09-12;2,21;27,46;30,5
2014-09-13;1,5;25,5;27,5
2014-09-14;1,67;20,96;23,08
2014-09-15;4,63;26,04;32,63
2014-09-16;3,29;24,83;29,71
2014-09-17;4,38;29,33;35,54
2014-09-18;15,29;37,96;61,25
2014-09-19;6,25;27,38;36,75
2014-09-20;3,88;31,0;36,54
2014-09-21;2,83;35,54;39,5
2014-09-22;6,13;39,29;48,46
2014-09-23;5,21;31,38;38,71
2014-09-24;2,21;18,46;21,75
2014-09-25;3,64;24,32;29,45
2014-09-26;5,38;25,33;33,5
2014-09-27;2,63;21,71;25,79
2014-09-28;1,67;21,38;24,04
2014-09-29;22,25;36,25;70,13
2014-09-30;5,96;28,83;37,67
2014-10-01;17,5;39,83;65,73
2014-10-02;15,86;32,73;56,77
2014-10-03;15,96;42,25;66,63
2014-10-04;7,67;30,92;42,79
2014-10-05;4,33;21,83;28,33
2014-10-06;10,42;32,54;48,38
2014-10-07;15,83;46,96;70,88
2014-10-08;24,57;48,73;86,95
2014-10-09;13,0;34,88;54,71
2014-10-10;9,17;38,92;52,63
2014-10-11;3,58;20,88;26,17
2014-10-12;4,13;22,38;28,63
2014-10-13;5,71;27,92;36,58
2014-10-14;23,38;32,13;67,5
2014-10-15;6,96;29,92;40,29
2014-10-16;9,13;29,75;43,63
2014-10-17;21,29;45,0;77,54
2014-10-18;51,2;40,6;119,0
2014-10-21;9,25;51,42;65,67
2014-10-22;4,59;25,86;32,5
2014-10-23;8,83;38,46;51,46
2014-10-24;26,92;59,71;100,5
2014-10-25;38,83;45,38;104,58
2014-10-26;3,75;25,38;31,04
2014-10-27;3,79;25,08;30,88
2014-10-28;4,13;29,25;35,58
2014-10-29;18,83;45,46;74,13
2014-10-30;13,17;47,63;67,5
2014-10-31;6,0;32,08;41,13
2014-11-01;4,5;29,38;36,17
2014-11-02;4,5;27,42;34,21
2014-11-03;4,29;24,46;30,63
2014-11-04;4,42;22,92;29,42
2014-11-05;7,54;31,58;43,29
2014-11-06;10,13;32,67;47,88
2014-11-07;8,54;36,58;49,38
2014-11-08;7,75;39,88;51,5
2014-11-09;4,25;27,17;33,42
2014-11-10;8,86;34,95;47,71
2014-11-11;29,13;57,42;101,79
2014-11-12;6,25;30,13;39,33
2014-11-13;9,79;40,25;55,13
2014-11-14;57,96;68,33;156,71
2014-11-15;4,21;24,38;30,71
2014-11-16;3,46;23,63;28,71
2014-11-17;5,63;33,58;42,08
2014-11-18;6,88;39,71;49,92
2014-11-19;8,88;47,21;60,75
2014-11-20;16,38;54,46;79,04
2014-11-21;7,52;43,05;54,48
2014-11-22;8,17;35,13;47,54
2014-11-23;17,04;31,38;57,21
2014-11-24;17,81;39,0;65,86
2014-11-25;20,04;37,67;68,21
2014-11-26;13,58;43,88;64,42
2014-11-27;31,54;52,25;100,13
2014-11-28;8,38;34,04;46,38
2014-11-29;3,96;22,83;28,58
2014-11-30;3,21;20,71;25,25
2014-12-01;9,83;35,08;49,83
2014-12-02;9,96;36,21;51,17
2014-12-03;8,54;33,42;46,0
2014-12-04;11,83;37,08;55,04
2014-12-05;8,75;27,92;40,83
2014-12-06;3,92;22,38;28,17
2014-12-07;2,54;19,08;22,71
2014-12-08;3,17;22,58;27,29
2014-12-09;3,71;25,29;30,75
2014-12-10;6,0;31,58;40,63
2014-12-11;10,32;39,36;55,0
2014-12-12;7,54;39,0;50,33
2014-12-13;15,92;67,08;91,42
2014-12-14;15,96;80,54;104,75
2014-12-15;6,21;40,46;49,75
2014-12-16;7,04;29,96;40,38
2014-12-17;12,13;41,5;59,88
2014-12-18;7,71;36,13;47,83
2014-12-19;8,52;31,3;44,3
2014-12-20;6,04;25,67;34,75
2014-12-21;7,5;28,0;39,33
2014-12-22;23,75;90,46;126,5
2014-12-23;24,14;76,14;112,86
2014-12-24;18,96;72,33;101,29
2014-12-25;9,83;52,25;67,21
2014-12-26;3,83;25,38;31,04
2014-12-27;3,13;18,13;22,63
2014-12-28;2,04;15,79;18,54
2014-12-29;5,79;37,42;46,21
2014-12-30;5,67;33,79;42,33
2014-12-31;9,05;45,45;59,0
2015-01-01;4,79;35,42;42,42
2015-01-02;10,42;45,92;61,46
2015-01-03;3,82;29,23;34,59
2015-01-04;8,88;37,71;51,08
2015-01-05;18,29;66,54;94,17
2015-01-06;6,13;32,75;41,5
2015-01-07;35,25;67,88;121,5
2015-01-08;12,25;48,13;66,5
2015-01-09;9,33;39,29;53,13
2015-01-10;11,79;38,21;55,92
2015-01-11;15,83;42,96;66,63
2015-01-12;15,96;50,88;74,83
2015-01-13;19,38;66,58;96,04
2015-01-14;7,54;42,08;53,5
2015-01-15;13,58;49,0;69,42
2015-01-16;27,67;53,71;95,67
2015-01-17;4,96;26,92;34,17
2015-01-18;3,96;30,29;36,0
2015-01-19;8,21;45,63;57,96
2015-01-20;8,46;36,58;48,96
2015-01-21;6,13;29,71;38,67
2015-01-22;8,17;35,33;47,46
2015-01-23;6,79;31,67;41,75
2015-01-24;3,08;17,79;22,29
2015-01-25;2,79;25,21;28,88
2015-01-26;6,54;38,04;47,88
2015-01-27;9,83;39,5;54,33
2015-01-28;14,96;53,71;76,0
2015-01-29;6,17;33,25;42,38
2015-01-30;3,46;19,17;23,92
2015-01-31;2,79;15,96;19,83
2015-02-01;2,08;9,88;12,67
2015-02-02;8,95;38,29;51,38
2015-02-03;8,48;45,22;57,83
2015-02-04;4,88;36,75;43,92
2015-02-05;8,46;40,21;52,88
2015-02-06;5,96;37,04;45,71
2015-02-07;4,92;36,29;43,54
2015-02-08;2,75;22,46;26,25
2015-02-09;9,42;49,67;63,96
2015-02-10;16,04;61,39;85,52
2015-02-11;37,82;111,0;168,27
2015-02-12;27,75;103,79;145,79
2015-02-13;15,46;61,33;84,5
2015-02-14;10,0;46,13;61,21
2015-02-15;3,46;29,63;34,67
2015-02-16;11,38;55,54;72,33
2015-02-17;8,83;55,88;68,96
2015-02-18;7,54;44,83;55,96
2015-02-19;8,75;44,71;57,88
2015-02-20;7,88;44,67;56,42
2015-02-21;3,42;32,29;37,13
2015-02-22;1,88;19,58;22,33
2015-02-23;13,13;45,71;65,54
2015-02-24;3,14;15,55;19,95
2015-02-25;4,79;22,63;29,25
2015-02-26;17,83;49,38;76,08
2015-02-27;6,54;29,79;39,25
2015-02-28;2,88;18,0;22,08
2015-03-01;6,13;33,71;42,67
2015-03-02;7,29;26,88;37,75
2015-03-03;4,54;25,21;31,88
2015-03-04;10,13;39,08;54,33
2015-03-05;7,38;28,62;39,38
2015-03-06;7,95;53,62;65,76
2015-03-07;5,63;40,83;48,96
2015-03-08;4,58;44,54;51,33
2015-03-09;7,79;54,54;66,21
2015-03-10;14,21;65,5;87,08
2015-03-11;36,0;95,67;150,08
2015-03-12;42,33;82,04;146,58
2015-03-13;5,54;34,96;43,33
2015-03-14;2,13;25,17;28,25
2015-03-15;3,0;27,88;32,08
2015-03-16;3,83;34,5;40,17
2015-03-17;5,21;36,92;44,5
2015-03-18;3,54;28,38;33,54
2015-03-19;3,5;33,71;38,71
2015-03-20;3,0;28,83;33,13
2015-03-21;2,29;19,13;22,33
2015-03-22;2,75;22,83;26,83
2015-03-23;2,82;25,0;29,27
2015-03-24;3,75;33,83;39,42
2015-03-25;4,75;29,58;36,25
2015-03-26;4,63;31,75;38,83
2015-03-27;10,96;49,42;65,96
2015-03-28;8,54;39,08;51,63
2015-03-29;4,05;29,59;35,45
2015-03-30;7,25;44,92;56,04
2015-03-31;7,58;37,92;49,08
2015-04-01;4,71;27,04;33,71
2015-04-02;3,38;22,25;27,17
2015-04-03;2,29;21,92;25,46
2015-04-04;2,42;17,88;21,25
2015-04-05;2,25;17,58;20,75
2015-04-06;1,63;15,54;18,04
2015-04-07;2,88;25,0;29,42
2015-04-08;6,33;34,88;44,29
2015-04-09;4,75;37,79;44,83
2015-04-10;4,67;39,63;46,38
2015-04-11;2,46;22,79;26,17
2015-04-12;2,04;25,04;27,88
2015-04-13;14,13;64,08;85,29
2015-04-14;21,67;65,71;98,75
2015-04-15;11,45;48,45;65,5
2015-04-16;6,29;38,5;47,71
2015-04-17;7,75;40,42;51,79
2015-04-18;4,88;34,63;41,67
2015-04-19;2,58;17,71;21,38
2015-04-20;5,75;31,46;40,08
2015-04-21;10,42;37,88;53,58
2015-04-22;12,32;68,77;87,23
2015-04-23;7,04;45,42;55,75
2015-04-24;5,75;32,79;41,08
2015-04-25;2,38;18,29;21,54
2015-04-26;3,08;23,04;27,54
2015-04-27;3,88;18,71;24,17
2015-04-28;5,67;26,25;34,5
2015-04-29;4,29;29,46;35,58
2015-04-30;6,58;27,25;37,08
2015-05-01;3,08;28,25;32,46
2015-05-02;3,58;29,17;34,17
2015-05-03;3,3;26,17;31,04
2015-05-04;5,9;35,81;44,43
2015-05-05;13,75;35,96;56,67
2015-05-06;7,04;34,58;45,08
2015-05-07;12,5;39,46;58,21
2015-05-08;5,29;30,5;38,25
2015-05-09;2,71;23,38;27,46
2015-05-10;3,58;24,92;30,0
2015-05-11;9,67;41,83;56,17
2015-05-12;12,33;42,79;61,33
2015-05-13;7,33;32,75;43,33
2015-05-14;7,67;37,71;48,96
2015-05-15;3,46;17,38;22,08
2015-05-16;2,54;15,17;18,75
2015-05-17;2,67;22,04;25,92
2015-05-18;7,22;30,83;41,26
2015-05-19;5,26;35,17;42,91
2015-05-20;5,04;24,79;32,13
2015-05-21;4,33;18,96;25,29
2015-05-22;4,0;20,35;26,48
2015-05-23;2,96;17,0;21,0
2015-05-24;3,33;21,33;26,0
2015-05-25;6,0;28,38;37,29
2015-05-26;3,88;17,83;23,5
2015-05-27;3,79;19,0;24,38
2015-05-28;3,83;18,13;23,42
2015-05-29;6,75;32,71;42,54
2015-05-30;2,83;26,04;30,0
2015-05-31;3,54;24,71;29,58
2015-06-01;2,79;21,08;24,79
2015-06-02;3,96;23,54;29,21
2015-06-03;11,08;40,0;56,58
2015-06-04;25,79;59,46;98,58
2015-06-05;10,04;44,29;59,21
2015-06-06;7,04;44,13;54,63
2015-06-07;3,67;30,21;35,5
2015-06-08;9,33;44,1;58,05
2015-06-09;3,04;37,21;41,5
2015-06-10;6,54;44,79;54,54
2015-06-11;3,67;27,83;33,29
2015-06-12;4,63;24,92;31,63
2015-06-13;2,17;16,92;20,21
2015-06-14;1,92;12,21;14,83
2015-06-15;2,75;23,5;27,46
2015-06-16;3,73;34,45;39,82
2015-06-17;3,92;26,38;32,08
2015-06-18;4,21;23,42;29,29
2015-06-19;3,88;30,67;36,04
2015-06-20;2,54;25,13;28,5
2015-06-21;5,58;29,17;37,79
2015-06-22;2,96;20,58;24,75
2015-06-23;4,92;36,67;43,92
2015-06-24;2,79;20,63;24,71
2015-06-25;3,42;28,75;33,5
2015-06-26;4,58;30,08;36,67
2015-06-27;3,13;23,38;27,79
2015-06-28;4,04;31,25;36,92
2015-06-29;9,38;37,83;51,83
2015-06-30;5,29;37,42;45,33
2015-07-01;6,36;44,41;53,82
2015-07-02;3,42;30,13;34,92
2015-07-03;5,96;46,54;55,46
2015-07-04;5,13;47,54;55,13
2015-07-05;1,71;25,17;27,38
2015-07-06;6,29;42,25;51,58
2015-07-07;8,75;38,79;51,83
2015-07-08;4,17;30,25;36,13
2015-07-09;4,75;23,25;30,08
2015-07-10;4,96;32,88;40,04
2015-07-11;2,71;19,17;22,96
2015-07-12;1,88;14,33;16,96
2015-07-13;4,04;24,46;30,21
2015-07-14;7,63;32,29;43,54
2015-07-15;9,75;37,75;52,25
2015-07-16;12,79;42,63;62,04
2015-07-17;7,0;36,58;47,04
2015-07-18;3,63;23,92;29,21
2015-07-19;2,17;21,83;24,92
2015-07-20;4,48;28,1;34,71
2015-07-21;6,38;28,75;37,79
2015-07-22;3,29;25,04;29,75
2015-07-23;2,75;20,25;24,13
2015-07-24;3,0;16,04;20,08
2015-07-25;2,58;17,58;20,88
2015-07-26;1,54;10,92;12,79
2015-07-27;3,46;20,13;25,13
2015-07-28;3,29;23,0;27,58
2015-07-29;4,17;20,71;26,54
2015-07-30;2,83;19,46;23,63
2015-07-31;2,96;30,33;34,63
2015-08-01;2,42;19,5;22,67
2015-08-02;1,58;15,08;17,0
2015-08-03;3,14;24,0;28,14
2015-08-04;3,46;28,25;33,33
2015-08-05;4,29;36,83;43,21
2015-08-06;5,83;28,83;37,21
2015-08-07;5,21;28,96;36,38
2015-08-08;2,25;23,17;25,67
2015-08-09;1,21;12,25;13,42
2015-08-10;2,88;21,79;25,63
2015-08-11;2,21;18,46;21,21
2015-08-12;2,21;18,88;21,63
2015-08-13;2,29;22,42;25,33
2015-08-14;1,75;19,5;21,75
2015-08-15;1,67;17,79;19,63
2015-08-16;1,58;19,08;21,0
2015-08-17;2,29;22,08;25,04
2015-08-18;2,38;29,54;32,58
2015-08-19;3,13;25,46;30,17
2015-08-20;3,82;28,5;33,77
2015-08-21;2,75;20,42;24,42
2015-08-22;2,5;20,96;24,54
2015-08-23;1,79;14,13;16,13
2015-08-24;2,38;17,71;21,13
2015-08-25;4,33;23,25;29,13
2015-08-26;3,63;18,88;24,25
2015-08-27;3,13;20,58;24,79
2015-08-28;4,21;32,17;38,46
2015-08-29;2,88;19,25;23,21
2015-08-30;1,5;25,0;27,5
2015-08-31;2,0;22,5;26,71
2015-09-01;3,79;25,5;31,13
2015-09-02;4,25;27,21;33,29
2015-09-03;3,29;23,21;27,83
2015-09-04;3,83;36,96;42,67
2015-09-05;2,13;18,88;21,88
2015-09-06;2,0;19,13;21,75
2015-09-07;4,29;31,58;37,88
2015-09-08;3,46;32,67;37,38
2015-09-09;11,63;44,46;61,58
2015-09-10;8,64;46,32;58,91
2015-09-11;3,17;38,79;43,46
2015-09-12;2,33;28,54;31,88
2015-09-13;3,5;30,04;35,17
2015-09-14;4,96;28,38;35,5
2015-09-15;5,0;31,08;38,46
2015-09-16;3,75;22,29;27,75
2015-09-17;3,08;17,63;21,92
2015-09-18;3,83;27,92;33,42
2015-09-19;3,88;25,79;31,33
2015-09-20;2,04;18,21;20,83
2015-09-21;8,17;41,13;53,25
2015-09-22;7,46;43,58;54,79
2015-09-23;3,5;21,45;26,27
2015-09-24;2,46;22,83;25,88
2015-09-25;19,58;53,58;83,25
2015-09-26;3,13;34,21;38,5
2015-09-27;3,21;34,67;39,25
2015-09-28;3,38;34,08;39,08
2015-09-29;4,17;33,38;39,29
2015-09-30;6,29;38,25;47,67
2015-10-01;9,0;41,83;54,96
2015-10-02;11,17;44,92;61,71
2015-10-03;9,0;42,63;56,29
2015-10-04;4,71;34,08;40,92
2015-10-05;24,13;49,75;85,83
2015-10-06;20,71;41,38;72,79
2015-10-07;10,45;33,23;48,91
2015-10-08;13,67;34,58;55,04
2015-10-09;14,48;48,95;70,67
2015-10-13;38,0;55,0;112,0
2015-10-14;9,55;38,0;52,0
2015-10-15;4,38;32,17;38,5
2015-10-16;12,09;42,65;60,61
2015-10-17;3,61;40,43;45,52
2015-10-18;16,88;64,71;90,13
2015-10-20;11,58;44,42;61,92
2015-10-21;8,87;37,04;50,04
2015-10-22;12,47;45,11;63,74
2015-10-23;13,36;44,95;64,91
2015-10-24;26,74;61,22;101,74
2015-10-25;3,43;31,43;36,29
2015-10-26;8,72;44,22;57,22
2015-10-27;14,61;47,96;69,96
2015-10-28;3,86;22,71;28,0
2015-10-29;32,18;60,73;109,36
2015-10-30;23,46;56,08;91,83
2015-10-31;6,29;37,5;46,58
2015-11-01;1,79;20,29;22,71
2015-11-02;6,08;25,75;34,5
2015-11-03;18,88;35,12;63,88
2015-11-11;29,27;67,09;111,27
2015-11-12;34,0;46,42;97,96
2015-11-13;14,29;39,38;60,88
2015-11-14;3,5;19,17;24,04
2015-11-15;22,5;39,96;74,08
2015-11-16;65,63;58,5;158,58
2015-11-17;33,67;50,25;101,29
2015-11-18;75,86;63,67;179,43
2015-11-19;119,67;81,13;263,75
2015-11-20;18,58;35,46;63,42
2015-11-21;2,25;13,5;16,5
2015-11-22;5,54;23,38;31,42
2015-11-23;13,46;43,21;63,54
2015-11-24;12,46;41,38;59,96
2015-11-25;25,33;38,17;76,0
2015-11-27;43,15;64,23;130,23
2015-11-28;17,42;49,75;76,0
2015-11-29;5,25;26,71;34,13
2015-11-30;53,5;63,92;145,42
2015-12-01;95,5;73,67;219,5
2015-12-02;63,5;67,5;164,5
2015-12-03;26,1;65,4;105,3
2015-12-04;77,88;77,5;196,17
2015-12-05;72,0;73,38;182,92
2015-12-06;17,88;59,42;86,42
2015-12-07;66,63;72,88;174,58
2015-12-08;18,96;47,79;76,46
2015-12-09;50,83;56,67;134,08
2015-12-10;41,54;62,0;125,17
2015-12-11;33,5;57,08;108,0
2015-12-12;17,42;49,46;76,08
2015-12-13;13,75;44,04;64,58
2015-12-14;105,63;76,42;237,63
2015-12-15;100,25;75,21;228,17
2015-12-16;152,29;82,0;314,42
2015-12-17;169,04;87,46;345,5
2015-12-18;113,38;76,38;249,46
2015-12-19;59,54;55,17;146,17
2015-12-20;12,92;50,54;69,79
2015-12-21;18,86;42,45;70,95
2015-12-22;25,5;48,13;87,04
2015-12-23;22,25;57,88;91,5
2015-12-24;17,88;54,63;81,5
2015-12-25;31,0;54,83;101,71
2015-12-26;30,5;46,83;92,96
2015-12-27;25,79;47,96;87,21
2015-12-28;42,88;69,38;134,54
2015-12-29;14,67;50,96;73,08
2015-12-30;18,04;48,38;75,71
2015-12-31;20,54;46,25;77,33
2016-01-01;14,42;40,96;62,67
2016-01-02;2,63;18,25;22,04
2016-01-03;3,08;24,0;28,21
2016-01-04;9,29;38,79;52,5
2016-01-05;5,23;30,41;37,91
2016-01-06;2,29;13,21;16,04
2016-01-07;5,83;30,17;38,5
2016-01-08;28,92;54,79;98,54
2016-01-09;20,58;47,29;78,38
2016-01-10;2,21;16,08;19,08
2016-01-11;7,25;24,65;35,55
2016-01-12;4,75;23,5;30,29
2016-01-13;13,54;53,54;73,67
2016-01-14;22,79;52,21;86,75
2016-01-15;13,17;46,74;66,39
2016-01-16;2,67;24,54;28,17
2016-01-17;6,63;35,75;45,5
2016-01-18;18,96;65,0;93,92
2016-01-19;9,5;48,5;62,71
2016-01-20;30,5;75,95;122,35
2016-01-21;28,5;60,42;103,38
2016-01-22;60,92;66,38;159,29
2016-01-23;41,79;55,21;118,5
2016-01-24;46,29;42,92;113,42
2016-01-25;10,38;42,88;58,5
