date;no;no2;nox
2012-06-17;4,79;38,83;45,83
2012-06-18;7,38;32,29;43,29
2012-06-19;5,0;46,43;53,68
2012-06-20;6,21;38,75;48,17
2012-06-21;6,5;36,17;45,96
2012-06-22;7,25;38,25;49,0
2012-06-23;8,33;37,38;49,96
2012-06-24;5,46;36,08;43,96
2012-06-25;12,33;47,5;66,04
2012-06-26;17,67;52,25;79,33
2012-06-27;10,54;51,21;67,04
2012-06-28;5,63;29,0;37,08
2012-06-29;6,46;44,46;54,04
2012-06-30;2,38;22,38;26,08
2012-07-01;2,0;21,25;24,04
2012-07-02;4,63;23,67;30,58
2012-07-03;4,82;30,52;37,55
2012-07-04;3,0;20,04;24,33
2012-07-05;3,63;25,63;30,88
2012-07-06;4,5;25,63;32,46
2012-07-07;2,63;22,5;26,38
2012-07-08;2,92;21,25;25,67
2012-07-09;3,71;24,42;29,71
2012-07-10;6,17;30,67;39,88
2012-07-11;3,33;22,04;26,92
2012-07-12;3,04;20,26;24,39
2012-07-13;2,54;14,04;17,38
2012-07-14;1,93;22,8;25,0
2012-07-15;1,71;15,17;17,25
2012-07-16;3,0;15,54;19,33
2012-07-17;4,13;28,13;34,04
2012-07-18;13,48;50,09;70,65
2012-07-19;12,83;46,92;66,33
2012-07-20;4,79;33,29;40,54
2012-07-21;1,58;13,67;15,75
2012-07-22;1,67;12,25;14,21
2012-07-23;2,71;26,21;29,92
2012-07-24;5,92;34,25;42,96
2012-07-25;2,63;24,17;27,75
2012-07-26;5,79;35,38;43,79
2012-07-27;3,04;33,88;38,29
2012-07-28;1,88;21,13;23,88
2012-07-29;1,38;16,88;18,71
2012-07-30;2,55;21,61;25,45
2012-07-31;4,71;30,13;37,0
2012-08-01;2,5;16,96;20,33
2012-08-02;3,58;28,71;33,92
2012-08-03;10,21;53,75;68,88
2012-08-04;4,04;30,29;36,13
2012-08-05;2,17;22,04;25,04
2012-08-06;4,04;21,21;27,21
2012-08-07;4,29;32,88;39,08
2012-08-08;6,71;36,75;46,79
2012-08-09;8,5;47,42;60,04
2012-08-10;6,59;47,77;57,45
2012-08-11;6,29;45,21;54,63
2012-08-12;1,25;22,42;24,21
2012-08-13;2,08;15,08;17,92
2012-08-14;2,25;16,0;18,55
2012-08-15;1,33;11,38;12,96
2012-08-16;2,29;19,67;22,92
2012-08-17;5,67;36,42;44,75
2012-08-18;5,46;39,33;47,71
2012-08-19;7,25;40,33;51,33
2012-08-20;10,0;39,63;54,75
2012-08-21;5,33;33,83;41,71
2012-08-22;11,83;43,54;61,21
2012-08-23;14,35;48,43;70,0
2012-08-24;9,25;37,71;51,79
2012-08-25;2,08;20,21;23,21
2012-08-26;1,21;9,58;11,13
2012-08-27;3,17;17,21;21,67
2012-08-28;2,08;16,21;19,08
2012-08-29;3,04;26,0;30,33
2012-08-30;2,92;27,29;31,42
2012-08-31;3,38;20,04;24,88
2012-09-01;2,04;16,38;19,08
2012-09-02;1,67;18,08;20,5
2012-09-03;2,92;26,38;30,54
2012-09-04;3,88;32,58;38,13
2012-09-05;2,88;25,54;29,58
2012-09-06;3,25;31,58;36,17
2012-09-07;7,54;55,46;66,75
2012-09-08;3,38;31,79;36,88
2012-09-09;1,46;14,79;16,54
2012-09-10;3,36;22,5;27,32
2012-09-11;1,38;14,13;15,71
2012-09-12;8,67;32,58;45,79
2012-09-13;4,5;24,88;31,17
2012-09-14;6,08;34,5;43,5
2012-09-15;11,67;39,58;57,04
2012-09-16;1,71;18,54;20,83
2012-09-17;2,63;26,79;30,5
2012-09-18;4,79;32,33;39,29
2012-09-19;6,21;34,13;43,42
2012-09-20;3,83;31,21;36,5
2012-09-21;12,67;39,58;58,75
2012-09-22;2,63;22,58;26,58
2012-09-23;1,42;14,42;16,38
2012-09-24;1,67;10,79;12,71
2012-09-25;2,46;20,08;23,38
2012-09-26;11,88;35,75;53,54
2012-09-27;4,91;33,45;40,95
2012-09-28;7,21;42,71;53,58
2012-09-29;2,96;35,29;39,46
2012-09-30;2,0;18,75;21,5
2012-10-01;3,75;27,96;33,38
2012-10-02;5,96;44,58;53,46
2012-10-03;17,79;53,29;80,42
2012-10-04;3,42;30,79;35,88
2012-10-05;11,67;45,88;63,46
2012-10-06;5,29;34,25;42,21
2012-10-07;2,67;28,42;32,29
2012-10-08;13,5;45,67;66,04
2012-10-09;21,27;47,68;80,23
2012-10-10;7,13;32,5;43,17
2012-10-11;14,46;43,5;65,13
2012-10-12;6,83;34,92;45,0
2012-10-13;9,33;30,13;44,21
2012-10-14;4,83;26,0;33,04
2012-10-15;5,29;21,38;28,67
2012-10-16;6,5;28,46;38,0
2012-10-17;18,38;42,0;70,04
2012-10-18;4,71;36,67;43,75
2012-10-19;6,0;37,83;46,38
2012-10-20;3,0;25,29;29,54
2012-10-21;1,5;18,13;19,71
2012-10-22;4,75;34,33;41,13
2012-10-23;16,46;47,46;72,42
2012-10-24;11,58;41,08;58,63
2012-10-25;6,77;51,91;61,68
2012-10-26;9,67;41,79;56,42
2012-10-27;3,79;20,46;25,88
2012-10-28;1,88;14,25;16,75
2012-10-29;5,79;31,5;39,79
2012-10-30;23,17;61,33;96,63
2012-10-31;12,67;37,92;56,83
2012-11-01;9,17;37,83;51,5
2012-11-02;12,08;41,38;59,79
2012-11-03;17,04;47,96;73,67
2012-11-04;12,33;39,46;57,96
2012-11-05;3,96;22,83;28,46
2012-11-06;11,21;37,79;54,58
2012-11-07;39,79;58,71;119,21
2012-11-08;32,63;56,0;105,92
2012-11-09;66,83;78,65;180,74
2012-11-10;20,79;50,42;82,04
2012-11-11;10,63;40,92;56,96
2012-11-12;9,58;35,54;49,96
2012-11-13;12,04;46,33;64,83
2012-11-14;4,29;29,71;36,17
2012-11-15;18,25;50,5;78,46
2012-11-16;25,5;56,29;95,04
2012-11-17;20,38;56,79;87,58
2012-11-18;2,38;25,42;28,83
2012-11-19;7,54;31,04;42,25
2012-11-20;20,83;44,54;76,33
2012-11-21;65,17;72,75;172,46
2012-11-22;32,0;57,63;106,13
2012-11-23;38,91;57,7;116,64
2012-11-24;27,0;47,92;88,92
2012-11-25;13,96;51,38;72,25
2012-11-26;8,08;36,29;48,29
2012-11-27;8,75;41,04;54,04
2012-11-28;5,46;27,08;35,04
2012-11-29;8,79;33,33;46,33
2012-11-30;12,83;44,96;64,08
2012-12-01;5,88;28,75;37,38
2012-12-02;2,79;17,92;21,92
2012-12-03;21,13;38,54;70,5
2012-12-04;4,58;25,46;32,21
2012-12-05;4,54;20,83;27,29
2012-12-06;6,25;28,54;37,96
2012-12-07;15,46;36,71;59,88
2012-12-08;8,63;31,75;44,67
2012-12-09;3,71;24,38;29,58
2012-12-10;17,05;41,17;68,32
2012-12-11;31,63;57,33;105,5
2012-12-12;24,25;62,88;99,63
2012-12-13;32,33;61,79;110,83
2012-12-14;26,33;59,71;99,71
2012-12-15;4,92;30,83;38,08
2012-12-16;7,38;32,42;43,63
2012-12-17;4,88;27,13;34,08
2012-12-18;15,67;44,13;67,75
2012-12-19;53,75;64,0;145,92
2012-12-20;41,88;60,29;124,17
2012-12-21;15,86;47,5;74,09
2012-12-22;19,0;50,5;79,25
2012-12-23;13,29;38,75;58,92
2012-12-24;16,96;38,08;63,75
2012-12-25;5,17;30,25;37,79
2012-12-26;5,54;25,38;33,75
2012-12-27;6,92;26,88;36,96
2012-12-28;24,0;43,46;79,96
2012-12-29;11,29;38,25;55,0
2012-12-30;12,63;40,67;59,92
2012-12-31;15,08;42,63;65,5
2013-01-01;16,63;37,83;62,71
2013-01-02;23,38;47,46;83,08
2013-01-03;18,17;54,58;82,08
2013-01-04;26,25;44,04;85,43
2013-01-05;22,83;39,04;73,67
2013-01-06;18,67;46,08;74,33
2013-01-07;32,71;63,75;113,54
2013-01-08;37,33;57,14;114,52
2013-01-09;9,71;35,38;50,17
2013-01-10;45,0;62,46;126,41
2013-01-11;25,92;54,13;93,67
2013-01-12;15,13;55,83;78,79
2013-01-13;7,46;30,46;41,46
2013-01-14;6,04;30,54;39,58
2013-01-15;6,38;30,67;39,71
2013-01-16;15,23;32,18;55,14
2013-01-17;7,83;35,5;47,46
2013-01-18;12,17;48,04;66,46
2013-01-19;26,79;46,79;87,29
2013-01-20;2,29;15,42;18,71
2013-01-21;7,17;31,88;42,71
2013-01-22;7,21;38,75;49,75
2013-01-23;3,63;19,71;25,17
2013-01-24;7,46;35,08;44,96
2013-01-25;5,29;27,63;35,29
2013-01-26;6,13;35,71;44,79
2013-01-27;4,79;32,29;39,54
2013-01-28;7,79;33,83;45,46
2013-01-29;16,92;44,21;70,04
2013-01-30;46,33;52,5;123,08
2013-01-31;38,75;47,46;106,46
2013-02-01;30,59;41,5;87,95
2013-02-02;2,21;14,38;17,5
2013-02-03;1,92;12,21;14,92
2013-02-04;27,29;42,46;83,92
2013-02-05;13,13;34,38;54,29
2013-02-06;3,54;16,58;21,63
2013-02-07;4,54;25,83;32,67
2013-02-08;7,5;38,33;49,42
2013-02-09;4,92;29,92;37,38
2013-02-11;2,88;17,67;21,5
2013-02-12;5,83;24,13;32,58
2013-02-13;6,22;42,42;52,39
2013-02-14;10,62;49,43;66,67
2013-02-15;6,25;33,54;43,0
2013-02-16;3,29;27,17;32,08
2013-02-17;2,75;28,42;32,29
2013-02-18;6,71;46,67;56,75
2013-02-19;3,96;37,58;43,0
2013-02-20;10,0;48,17;62,88
2013-02-21;12,38;53,08;71,67
2013-02-22;6,08;42,83;51,92
2013-02-23;3,75;29,04;34,38
2013-02-24;2,71;23,38;26,96
2013-02-25;10,08;52,96;67,92
2013-02-26;7,17;43,25;53,92
2013-02-27;26,17;60,75;100,38
2013-02-28;3,83;34,7;40,17
2013-03-01;10,79;48,25;64,33
2013-03-02;17,92;53,17;80,46
2013-03-03;29,0;58,42;102,5
2013-03-04;9,83;61,5;76,42
2013-03-05;3,17;28,54;33,21
2013-03-06;21,83;56,33;89,5
2013-03-07;32,63;55,38;105,13
2013-03-08;3,96;32,38;38,0
2013-03-09;6,67;35,5;45,54
2013-03-10;9,29;34,29;48,17
2013-03-11;3,54;26,33;31,38
2013-03-12;3,59;26,14;31,05
2013-03-13;9,58;44,04;58,46
2013-03-14;4,67;26,63;33,54
2013-03-15;4,79;32,79;39,75
2013-03-16;7,38;38,71;49,92
2013-03-17;2,13;23,71;26,63
2013-03-18;3,83;27,71;32,88
2013-03-19;11,58;48,54;66,04
2013-03-20;6,38;37,92;47,29
2013-03-21;17,17;47,08;72,92
2013-03-22;5,5;36,25;44,17
2013-03-23;2,96;37,54;41,63
2013-03-24;2,17;24,17;27,08
2013-03-25;3,46;25,38;30,54
2013-03-26;4,0;25,05;30,64
2013-03-27;3,21;23,96;28,71
2013-03-28;3,96;26,21;32,13
2013-03-29;2,17;18,79;21,71
2013-03-30;1,21;12,79;14,13
2013-03-31;2,14;15,17;18,27
2013-04-01;2,08;21,88;24,83
2013-04-02;3,13;21,5;25,75
2013-04-03;11,17;38,96;55,46
2013-04-04;3,79;35,29;40,79
2013-04-05;3,82;36,61;41,41
2013-04-06;2,46;18,88;21,88
2013-04-07;2,04;18,88;21,42
2013-04-08;13,92;34,5;55,33
2013-04-09;13,71;37,88;58,67
2013-04-10;3,75;30,54;35,88
2013-04-11;13,96;36,92;58,04
2013-04-12;4,29;26,13;32,63
2013-04-13;2,71;28,33;31,88
2013-04-14;8,75;51,58;64,71
2013-04-15;28,71;72,79;116,5
2013-04-16;20,67;69,71;101,46
2013-04-17;32,83;66,96;116,96
2013-04-18;11,5;43,38;60,83
2013-04-19;10,04;39,67;54,88
2013-04-20;2,04;17,33;20,08
2013-04-21;1,35;15,88;17,87
2013-04-22;4,42;26,13;32,42
2013-04-23;4,63;28,5;35,0
2013-04-24;2,91;32,26;36,52
2013-04-25;2,83;33,83;37,83
2013-04-26;3,29;34,88;39,54
2013-04-27;2,5;23,25;26,63
2013-04-28;2,54;33,33;36,79
2013-04-29;5,21;41,63;49,04
2013-04-30;5,5;29,33;37,38
2013-05-01;2,0;23,13;25,75
2013-05-02;7,08;43,96;54,46
2013-05-03;4,71;26,08;33,0
