date;no;no2;nox;so2
2012-05-18;2,67;26,08;29,83;2,71
2012-05-19;1,96;15,63;17,83;1,63
2012-05-20;2,25;21,33;24,38;1,5
2012-05-21;4,52;26,35;32,83;1,45
2012-05-22;9,79;36,88;51,33;4,29
2012-05-23;6,17;34,17;43,21;3,58
2012-05-24;17,92;42,13;68,92;5,0
2012-05-25;9,96;42,04;56,67;3,96
2012-05-26;3,25;22,38;26,92;2,0
2012-05-27;2,92;22,46;26,46;2,96
2012-05-28;6,88;33,17;43,13;2,71
2012-05-29;9,18;32,77;46,32;2,3
2012-05-30;10,75;35,21;51,42;3,04
2012-05-31;9,21;41,54;55,58;4,04
2012-06-01;14,25;46,5;68,21;3,29
2012-06-02;2,79;34,04;38,17;3,25
2012-06-03;2,33;25,88;29,17;3,42
2012-06-04;12,63;23,21;42,21;1,75
2012-06-05;7,29;21,58;32,38;1,58
2012-06-06;3,83;19,04;22,52;1,0
2012-06-07;8,75;30,25;43,25;2,17
2012-06-08;6,17;29,46;38,38;2,63
2012-06-09;3,54;18,67;23,67;2,33
2012-06-10;3,71;16,96;22,25;2,21
2012-06-11;1,92;12,54;15,13;1,83
2012-06-12;4,75;23,83;30,38;2,17
2012-06-13;7,63;22,83;34,13;2,54
2012-06-14;8,88;26,58;39,67;2,25
2012-06-15;13,75;35,08;55,83;1,92
2012-06-16;8,29;36,92;48,92;2,58
2012-06-17;5,63;29,88;37,96;3,17
2012-06-18;10,88;34,96;51,38;3,17
2012-06-19;8,25;54,17;66,38;5,67
2012-06-20;6,41;36,58;46,91;3,48
2012-06-21;6,83;28,83;38,92;2,08
2012-06-22;5,5;26,63;34,71;4,79
2012-06-23;7,83;39,79;51,25;13,88
2012-06-24;3,29;26,79;31,46;14,71
2012-06-25;6,92;34,5;44,71;2,96
2012-06-26;14,25;43,67;65,13;3,54
2012-06-27;11,0;41,67;58,0;3,33
2012-06-28;4,75;22,04;28,92;1,38
2012-06-29;8,42;33,63;46,33;2,42
2012-06-30;2,04;23,25;26,21;2,21
2012-07-01;2,58;24,58;28,21;1,63
2012-07-02;6,79;27,71;37,88;2,0
2012-07-03;12,08;32,25;50,38;1,54
2012-07-04;11,59;29,14;46,68;1,43
2012-07-05;2,92;22,33;26,58;1,21
2012-07-06;7,71;26,42;37,92;1,79
2012-07-07;5,25;22,58;30,54;2,17
2012-07-08;3,25;16,63;21,21;2,0
2012-07-09;13,71;32,92;53,46;2,54
2012-07-10;11,75;28,17;45,67;1,63
2012-07-11;3,17;19,96;24,42;1,92
2012-07-12;5,42;25,42;33,42;1,75
2012-07-13;4,58;15,58;22,08;1,04
2012-07-14;2,0;15,17;18,0;1,83
2012-07-15;1,38;11,67;13,54;1,75
