date;co;no;no2;nox;o3;pm10;pm2.5;so2
2012-04-11;0,2;2,26;14,61;17,35;73,13;;;2,75
2012-04-12;0,41;5,61;36,09;44,43;49,0;;;2,79
2012-04-13;0,21;3,52;26,48;31,39;53,92;;;3,25
2012-04-14;0,34;1,43;12,7;14,52;70,92;;;2,83
2012-04-15;0,31;1,26;14,96;16,43;69,92;;;3,63
2012-04-16;0,2;1,57;15,22;16,96;87,71;;;7,0
2012-04-17;0,2;1,91;18,0;20,43;87,08;;;5,5
2012-04-18;0,4;3,65;28,17;33,09;71,46;;;6,75
2012-04-19;0,2;1,38;12,57;13,86;82,91;;;2,83
2012-04-20;0,41;1,61;13,78;15,78;85,67;;;2,21
2012-04-21;0,5;1,65;19,52;21,39;78,29;;;2,88
2012-04-22;0,24;1,04;8,52;9,48;86,83;;;2,29
2012-04-23;0,41;2,04;15,17;18,04;84,25;;;3,29
2012-04-24;0,21;1,74;16,22;18,22;83,13;;;1,83
2012-04-25;0,38;1,57;21,78;23,87;75,63;;;1,63
2012-04-26;0,34;2,21;25,68;28,79;79,38;;;5,75
2012-04-27;0,39;3,19;29,52;33,71;70,83;;;2,63
2012-04-28;0,36;1,29;20,46;21,92;86,54;;;1,63
2012-04-29;0,26;1,29;14,13;15,42;91,96;;;3,5
2012-04-30;0,33;1,29;18,29;19,5;89,39;;;2,5
2012-05-01;0,33;2,0;24,21;26,67;77,46;;;3,71
2012-05-02;0,36;4,29;32,79;38,75;72,5;;;1,67
2012-05-03;0,29;3,88;31,04;36,46;72,42;;;4,54
2012-05-04;0,47;5,17;41,29;48,46;64,08;;;5,04
2012-05-05;0,31;2,67;27,42;31,04;69,21;;;3,17
2012-05-06;0,2;1,67;24,5;26,58;67,63;;;2,75
2012-05-07;0,27;6,92;33,75;43,83;67,04;;;3,29
2012-05-08;0,29;7,38;41,71;52,54;65,46;;;2,92
2012-05-09;0,54;5,08;36,17;43,5;69,88;;;2,67
2012-05-10;0,36;12,73;57,91;76,86;60,19;;;4,52
2012-05-11;0,29;15,29;57,71;80,46;59,83;;;2,67
2012-05-12;0,4;7,92;54,88;66,38;61,38;;;6,75
2012-05-13;0,35;1,96;27,21;29,67;64,42;;;3,08
2012-05-14;0,39;1,67;20,83;22,88;83,83;;;2,25
2012-05-15;0,33;2,08;25,13;27,75;88,88;;;1,71
2012-05-16;0,27;1,92;22,75;25,13;77,63;;;1,0
2012-05-17;0,5;1,79;25,63;27,96;81,83;;;1,09
2012-05-18;0,4;1,59;23,14;25,0;85,5;;;2,94
2012-05-19;0,27;1,29;19,75;21,08;99,67;;;2,71
2012-05-20;0,46;1,79;24,38;26,71;64,29;;;3,58
2012-05-21;0,2;1,75;12,63;15,0;72,67;;;1,63
2012-05-22;0,34;3,13;21,33;25,5;65,46;;;2,33
2012-05-23;0,36;5,21;38,13;45,67;55,08;;;4,63
2012-05-24;0,35;14,0;54,0;74,79;58,5;;;4,25
2012-05-25;0,4;8,13;48,04;59,92;71,21;;;6,0
2012-05-26;0,3;1,29;22,5;24,04;89,38;;;4,88
2012-05-27;0,51;1,96;21,13;23,71;80,5;;;2,5
2012-05-28;0,47;1,75;22,38;24,46;72,17;;;1,58
2012-05-29;0,28;5,83;32,5;41,17;72,04;;;4,75
2012-05-30;0,4;6,04;35,88;44,5;73,58;;;5,63
2012-05-31;0,5;6,83;38,92;48,58;68,92;;;2,08
2012-06-01;0,2;1,33;12,55;29,11;101,36;;;1,0
2012-06-02;0,21;3,0;28,63;32,67;88,54;;;2,21
2012-06-03;0,3;1,17;19,46;20,67;77,0;;;1,29
2012-06-04;0,24;1,58;11,21;13,17;62,08;;;1,0
2012-06-05;0,22;2,08;15,13;17,75;71,71;;;1,0
2012-06-06;0,34;1,5;13,21;15,08;75,63;;;1,08
2012-06-07;0,4;3,83;29,75;34,92;70,5;;;3,58
2012-06-08;0,33;3,67;24,25;29,33;65,33;;;2,71
2012-06-09;0,2;1,54;9,88;11,79;73,92;;;1,5
2012-06-10;0,48;1,29;10,21;11,67;62,71;;;1,79
2012-06-11;0,21;1,54;6,71;8,58;55,33;;;2,04
2012-06-12;0,21;1,82;12,67;15,0;72,64;;;1,17
2012-06-13;0,37;1,96;13,71;16,0;63,38;;;1,26
2012-06-14;0,49;2,75;22,29;25,96;63,96;;;1,33
2012-06-15;0,26;10,0;41,17;56,13;56,58;;;2,83
2012-06-16;0,21;2,75;23,96;27,67;73,75;;;1,04
2012-06-17;0,39;2,75;35,0;38,67;56,67;;;3,79
2012-06-18;0,25;8,21;40,13;52,17;61,17;;;3,67
2012-06-19;0,45;4,42;40,17;46,33;68,88;;;3,17
2012-06-20;0,23;4,42;32,58;38,79;78,29;;;3,25
2012-06-21;0,47;5,04;39,75;46,83;72,58;;;1,88
2012-06-22;0,41;4,79;32,88;39,71;71,63;;;6,46
2012-06-23;0,2;2,88;30,13;33,88;76,04;;;3,42
2012-06-24;0,27;1,92;31,83;34,08;80,21;;;4,04
2012-06-25;0,29;6,42;48,67;58,0;65,08;;;3,83
2012-06-26;0,22;4,33;39,88;45,92;72,04;;;2,79
2012-06-27;0,23;5,42;38,21;45,88;70,67;;;4,96
2012-06-28;0,49;5,0;31,42;38,58;72,71;;;2,17
2012-06-29;0,45;8,17;37,21;49,08;57,0;;;2,0
2012-06-30;0,29;1,75;18,96;21,04;73,88;;;2,92
2012-07-01;0,23;1,38;15,92;17,46;58,79;;;2,83
2012-07-02;0,26;2,33;21,79;25,76;57,05;;;2,73
2012-07-03;0,23;3,38;28,13;32,79;69,08;;;7,17
2012-07-04;0,33;1,88;25,5;27,75;72,17;;;3,17
2012-07-05;0,37;2,21;23,92;26,75;65,92;;;5,79
2012-07-06;0,28;3,63;28,46;33,38;64,54;;;6,29
2012-07-07;0,31;2,17;25,33;28,17;59,83;;;7,04
2012-07-08;0,36;1,5;21,79;23,63;54,79;;;16,83
2012-07-09;0,5;2,88;28,75;32,71;60,75;;;5,83
2012-07-10;0,38;6,38;39,13;48,25;49,04;;;6,67
2012-07-11;0,7;3,5;24,14;28,71;70,27;;;6,32
2012-07-12;0,38;1,74;15,41;17,68;75,46;;;2,08
2012-07-13;0,99;1,5;14,92;16,71;69,42;;;1,33
2012-07-14;0,59;1,38;13,71;15,13;67,33;;;1,96
2012-07-15;0,35;1,33;11,25;12,63;66,25;;;1,88
2012-07-16;0,2;1,71;13,33;15,46;63,42;;;2,0
2012-07-17;0,24;2,08;23,54;26,25;66,25;;;1,63
2012-07-18;0,27;8,0;40,04;51,7;64,39;;;3,43
2012-07-19;0,38;12,38;37,75;56,13;61,5;;;5,63
2012-07-20;0,42;5,63;28,71;37,04;67,25;;;5,25
2012-07-21;0,22;1,08;10,79;11,96;79,96;;;2,33
2012-07-22;0,27;1,25;9,54;10,79;84,5;;;2,75
2012-07-23;0,23;1,79;20,92;23,29;83,46;;;1,52
2012-07-24;0,23;3,75;27,58;32,83;79,83;;;
2012-07-25;0,32;1,14;18,38;19,52;97,05;;;1,0
2012-07-26;0,48;4,29;32,21;38,33;83,96;;;
2012-07-27;0,43;1,71;25,92;28,13;82,21;;;1,0
2012-07-28;0,22;1,42;18,63;20,17;94,13;;;1,0
2012-07-29;0,4;1,0;10,63;11,29;98,96;;;2,58
2012-07-30;0,24;;21,54;24,04;62,5;;;2,13
2012-07-31;0,43;4,88;27,42;34,46;59,17;;;1,33
2012-08-01;0,25;1,79;18,0;20,42;76,08;;;1,04
2012-08-02;0,3;1,63;19,33;21,42;85,54;;;1,08
2012-08-03;0,36;5,33;42,46;50,17;65,54;;;1,83
2012-08-04;0,2;1,75;23,21;25,38;79,33;;;2,58
2012-08-05;0,31;1,13;15,29;16,42;81,92;;;3,04
2012-08-06;0,25;1,83;13,67;15,79;68,04;;;1,5
2012-08-07;0,2;2,04;20,71;23,25;65,88;;;1,38
2012-08-08;0,2;1,54;27,92;29,75;74,29;;;2,88
2012-08-09;0,34;2,0;34,6;37,3;76,86;;;4,71
2012-08-10;0,27;4,04;43,13;48,83;68,0;;;5,92
2012-08-11;0,47;2,5;35,75;39,0;81,58;;;5,67
2012-08-12;0,24;1,0;21,88;22,83;75,75;;;4,17
2012-08-13;0,23;1,38;12,92;14,67;78,83;;;3,63
2012-08-14;0,59;1,13;10,96;12,21;81,29;;;2,5
2012-08-15;0,46;1,04;12,63;13,71;73,33;;;1,71
2012-08-16;0,22;1,58;16,54;18,63;74,54;;;2,38
2012-08-17;0,3;5,0;37,63;45,08;47,5;;;2,92
2012-08-18;0,23;4,17;34,71;40,5;49,88;;;3,58
2012-08-19;0,35;3,54;39,38;44,5;49,58;;;3,08
2012-08-20;0,44;10,5;50,42;66,08;46,71;;;4,38
2012-08-21;0,24;3,13;40,5;44,88;63,54;;;4,08
2012-08-22;0,27;6,88;42,63;52,63;63,54;;;4,67
2012-08-23;0,34;8,5;46,29;58,83;60,67;;;5,33
2012-08-24;0,27;8,04;31,38;42,96;68,92;;;3,08
2012-08-25;0,45;1,08;14,21;15,5;80,17;;;2,13
2012-08-26;0,22;1,0;6,29;7,13;73,79;;;2,54
2012-08-27;0,3;1,4;13,65;15,1;64,32;;;2,14
2012-08-28;0,52;1,21;13,04;14,5;70,67;;;4,38
2012-08-29;0,32;3,83;23,79;29,08;59,38;;;3,08
2012-08-30;0,2;3,67;28,46;33,38;45,5;;;2,21
2012-08-31;0,2;1,71;11,83;13,67;67,04;;;3,42
2012-09-01;0,2;1,38;9,29;10,88;77,29;;;1,63
2012-09-02;0,29;1,38;13,46;14,79;80,96;;;6,67
2012-09-03;0,21;1,54;15,54;17,38;95,13;;;4,96
2012-09-04;0,44;2,13;20,63;23,46;92,42;;;5,58
2012-09-05;0,25;1,71;22,21;24,21;87,13;;;7,71
2012-09-06;0,63;1,96;32,17;34,67;78,71;;;4,92
2012-09-07;0,53;3,0;38,38;42,58;81,46;;;4,29
2012-09-08;0,41;3,79;34,58;39,88;73,54;;;3,79
2012-09-09;0,27;1,04;11,21;12,29;104,42;;;2,13
2012-09-10;0,32;1,67;21,9;23,71;75,86;;;1,55
2012-09-11;0,31;1,17;16,3;17,39;68,46;;;1,58
2012-09-12;0,52;7,46;27,29;38,29;60,5;;;3,29
2012-09-13;0,23;1,29;6,54;7,29;64,38;;;3,5
2012-09-14;0,28;2,13;9,88;11,96;57,04;;;6,29
2012-09-15;0,53;1,58;13,42;14,63;58,0;;;5,96
2012-09-16;0,53;1,0;7,5;8,17;75,75;;;6,46
2012-09-17;0,55;2,1;12,95;15,29;53,75;;;4,08
2012-09-18;0,3;2,73;18,67;22,0;49,76;;;1,73
2012-09-19;0,29;3,63;31,71;36,58;43,25;;;2,17
