date,ws,wd,rh,pres,solar,temp_mean,temp_max,temp_min,precip_sum
2011-09-17,2.4764705882352938,199.0,70.47058823529412,1010.0705882352942,292.47058823529414,25.799999999999997,27.3,24.5,0.0
2011-09-18,2.125,140.25,78.08333333333333,1007.275,73.16666666666667,21.345833333333335,24.4,18.5,37.9
2011-09-19,2.766666666666667,209.83333333333334,52.333333333333336,1013.2541666666666,225.70833333333334,19.691666666666666,24.3,15.3,0.0
2011-09-20,1.8666666666666665,209.45833333333334,60.541666666666664,1016.4166666666666,229.375,21.274999999999995,23.4,18.2,0.0
2011-09-21,1.9208333333333334,245.54166666666666,67.5,1015.2875,228.41666666666666,22.82083333333333,26.1,19.2,0.0
2011-09-22,1.7333333333333332,211.70833333333334,70.95833333333333,1013.9958333333334,222.04166666666666,23.495833333333326,27.1,20.5,0.0
2011-09-23,1.8166666666666667,208.25,72.58333333333333,1011.5749999999999,213.91666666666666,23.304166666666664,25.6,20.6,0.0
2011-09-24,1.6041666666666663,177.29166666666666,76.16666666666667,1010.808333333333,53.916666666666664,21.504166666666674,23.0,19.3,9.4
2011-09-25,1.2583333333333333,120.66666666666667,70.08333333333333,1015.0416666666669,223.16666666666666,21.5125,23.8,18.7,0.0
2011-09-26,1.2291666666666665,141.79166666666666,69.20833333333333,1018.8791666666666,216.625,22.412499999999998,24.5,19.4,0.0
2011-09-27,1.1291666666666667,139.41666666666666,63.625,1020.3041666666668,216.125,23.612499999999997,26.9,19.9,0.0
2011-09-28,1.5666666666666664,81.70833333333333,59.416666666666664,1019.6666666666666,211.95833333333334,23.429166666666664,26.0,20.9,0.0
2011-09-29,2.375,60.5,58.75,1019.4666666666667,206.25,23.212500000000002,26.2,20.6,0.0
2011-09-30,2.120833333333333,79.91666666666667,66.79166666666667,1019.5124999999998,199.58333333333334,22.312499999999996,24.3,20.0,0.0
2011-10-01,1.9041666666666666,65.04166666666667,69.66666666666667,1019.7374999999998,192.91666666666666,22.079166666666666,24.4,19.5,0.0
2011-10-02,1.5,186.95833333333334,64.58333333333333,1019.65,204.08333333333334,22.358333333333338,25.7,19.2,0.0
2011-10-03,0.9624999999999999,163.45833333333334,60.375,1018.8624999999998,202.54166666666666,23.254166666666666,27.0,19.5,0.0
2011-10-04,1.2041666666666668,172.29166666666666,51.625,1019.1333333333333,198.875,23.858333333333334,27.9,19.4,0.0
2011-10-05,1.45,139.5,56.375,1017.6749999999998,198.125,23.737499999999997,29.6,19.6,0.0
2011-10-06,1.3125,133.20833333333334,72.95833333333333,1015.6333333333331,185.04166666666666,22.920833333333334,24.9,20.5,0.0
2011-10-07,1.9749999999999996,186.20833333333334,65.33333333333333,1013.3666666666668,99.0,21.05416666666667,22.1,19.2,0.2
2011-10-08,2.220833333333333,144.83333333333334,51.958333333333336,1016.1041666666664,191.58333333333334,18.8875,22.3,15.1,0.0
2011-10-09,2.141666666666667,217.66666666666666,53.583333333333336,1018.1666666666669,197.375,19.591666666666665,21.8,15.7,0.0
2011-10-10,1.7333333333333334,207.16666666666666,49.583333333333336,1019.4375,192.45833333333334,23.71666666666667,29.5,19.1,0.0
2011-10-11,1.0458333333333332,225.95833333333334,50.041666666666664,1017.9083333333334,187.75,24.30416666666667,28.7,20.0,0.0
2011-10-12,0.9583333333333334,171.33333333333334,52.666666666666664,1015.8416666666667,189.04166666666666,24.120833333333326,29.5,20.0,0.0
2011-10-13,1.5125,108.08333333333333,70.20833333333333,1015.0958333333332,173.08333333333334,22.47083333333333,25.1,20.1,0.0
2011-10-14,2.025,85.375,55.625,1016.3458333333333,176.70833333333334,21.2625,23.5,19.2,0.0
2011-10-15,2.120833333333333,77.04166666666667,60.416666666666664,1019.4916666666664,143.95833333333334,19.716666666666665,21.5,18.3,0.0
2011-10-16,1.4875,219.125,59.333333333333336,1019.6375000000002,147.33333333333334,20.345833333333335,22.3,18.3,0.0
2011-10-17,1.5583333333333333,199.625,66.875,1018.7166666666667,145.29166666666666,20.4625,22.3,18.5,0.0
2011-10-18,2.245833333333333,274.125,59.416666666666664,1016.4875000000002,170.54166666666666,20.970833333333335,24.8,18.2,0.0
2011-10-19,2.5375,237.41666666666666,67.33333333333333,1014.3583333333332,151.04166666666666,20.404166666666665,23.7,15.7,0.0
2011-10-20,1.7166666666666668,159.95833333333334,58.375,1017.558333333333,113.54166666666667,16.775000000000002,19.2,14.1,0.0
2011-10-21,1.5333333333333332,120.33333333333333,58.0,1017.2541666666666,61.708333333333336,15.89583333333333,17.0,14.4,0.0
2011-10-22,1.6583333333333332,102.29166666666667,71.5,1014.5333333333334,123.41666666666667,17.612499999999997,20.2,15.1,0.0
2011-10-23,1.0875000000000001,195.83333333333334,76.83333333333333,1010.3125000000001,59.041666666666664,17.75,19.4,16.5,0.6
2011-10-24,1.4875000000000005,143.75,86.45833333333333,999.6041666666666,68.16666666666667,17.429166666666664,20.3,16.1,52.1
2011-10-25,3.2708333333333335,295.5416666666667,55.208333333333336,1001.1041666666666,167.375,17.729166666666668,21.0,16.1,0.1
2011-10-26,1.5416666666666667,240.20833333333334,46.0,1009.6208333333334,153.70833333333334,17.45,20.4,13.5,0.0
2011-10-27,1.4125000000000003,124.0,78.08333333333333,1006.0291666666666,27.666666666666668,18.679166666666664,21.1,16.5,11.600000000000001
2011-10-28,1.9291666666666665,61.916666666666664,84.5,1013.3375000000001,53.791666666666664,17.987499999999997,19.8,16.0,29.9
2011-10-29,2.3124999999999996,55.041666666666664,78.75,1017.5541666666667,71.75,18.945833333333336,21.5,17.5,0.0
2011-10-30,1.1416666666666668,174.45833333333334,73.25,1017.1666666666666,134.25,18.770833333333332,22.4,16.6,0.0
2011-10-31,1.0291666666666666,170.66666666666666,78.58333333333333,1014.0333333333333,106.125,18.104166666666668,20.5,15.1,0.0
2011-11-01,1.1458333333333337,195.54166666666666,82.0,1012.4875000000001,78.83333333333333,19.40833333333333,21.8,17.4,0.0
2011-11-02,2.1208333333333336,213.33333333333334,81.83333333333333,1009.2375000000002,119.08333333333333,19.962500000000002,21.9,17.8,23.6
2011-11-03,2.1791666666666667,188.95833333333334,81.875,1000.25,48.75,20.34583333333333,21.5,19.1,0.0
2011-11-04,2.0875,189.83333333333334,85.16666666666667,995.0333333333333,27.75,17.379166666666666,19.0,15.7,36.60000000000001
2011-11-05,1.5708333333333335,193.25,76.75,995.0166666666668,53.583333333333336,16.391666666666666,18.4,13.8,8.100000000000001
2011-11-06,2.35,201.33333333333334,78.375,1000.2083333333331,28.916666666666668,14.833333333333336,17.1,12.7,27.5
