codi_regio,nom_regio
0,No disponible
61,Lleida
62,Camp de Tarragona
63,Terres de l'Ebre
64,Girona
67,Catalunya Central
70,Penedès
71,Alt Pirineu i Aran
75,Barcelona Metropolitana Sud
76,Barcelona Metropolitana Nord
79,Barcelona Ciutat
